Platform,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2600,1980,10.59,0.67,0,0.12,11.38
2600,1981,33.4,1.96,0,0.32,35.77
2600,1982,26.92,1.65,0,0.31,28.86
2600,1983,5.44,0.34,0,0.06,5.83
NES,1983,2.32,0.46,8.1,0.08,10.96
2600,1984,0.26,0.01,0,0,0.27
NES,1984,33.02,2.09,14.27,0.7,50.09
2600,1985,0.42,0.03,0,0,0.45
DS,1985,0,0,0.02,0,0.02
NES,1985,33.31,4.68,14.54,0.91,53.44
PC,1985,0,0.03,0,0.01,0.03
2600,1986,0.63,0.04,0,0,0.66
NES,1986,11.87,2.8,19.81,1.93,36.41
2600,1987,1.84,0.09,0,0.01,1.98
NES,1987,6.62,1.32,11.63,0.19,19.76
2600,1988,0.69,0.04,0,0.01,0.75
GB,1988,0.82,0.23,0.35,0.03,1.43
NES,1988,22.36,6.3,15.41,0.94,45.01
PC,1988,0,0.02,0,0.01,0.03
2600,1989,0.59,0.03,0,0.01,0.62
GB,1989,39.81,7.6,16.16,1.4,64.98
NES,1989,4.75,0.81,2.2,0.09,7.85
GB,1990,2.24,0.89,1.33,0.43,4.89
GEN,1990,1.86,0.55,0.11,0.08,2.6
NES,1990,6.08,1.59,7.84,0.22,15.74
SNES,1990,15.28,4.6,5.6,0.67,26.16
GB,1991,1.43,0.68,3.38,0.08,5.57
GEN,1991,3.03,0.91,0.26,0.13,4.34
NES,1991,2.83,0.52,2.6,0.16,6.11
SNES,1991,5.47,1.84,8.54,0.37,16.21
GB,1992,13.1,4.24,7.51,0.64,25.48
GEN,1992,9.17,2.38,0.72,0.37,12.66
GG,1992,0,0,0.04,0,0.04
NES,1992,0.84,0.14,0.97,0.03,1.98
PC,1992,1.26,1.66,0,0.11,3.03
SNES,1992,9.52,3.29,19.67,0.5,32.98
GEN,1993,1.78,0.53,0.68,0.08,3.07
NES,1993,1.94,0.44,1.17,0.06,3.61
NG,1993,0,0,0.21,0,0.21
SCD,1993,1,0.36,0.09,0.05,1.5
SNES,1993,12.18,3.85,23.21,0.78,40.01
3DO,1994,0,0,0.02,0,0.02
GB,1994,6.03,2.36,3.19,0.6,12.17
GEN,1994,5.21,1.68,0.93,0.31,8.11
NES,1994,0,0,0.11,0,0.11
NG,1994,0,0,0.8,0,0.8
PC,1994,5.56,6.85,0,0.46,12.86
PS,1994,1.76,1.2,2.67,0.4,6.02
SAT,1994,0.17,0.12,3.34,0.02,3.64
SCD,1994,0,0,0.36,0,0.37
SNES,1994,9.43,2.67,22.57,0.41,35.08
3DO,1995,0,0,0.08,0,0.08
GB,1995,0.69,0.14,2.72,0.05,3.6
NG,1995,0,0,0.33,0,0.33
PC,1995,1.72,2.27,0,0.23,4.23
PS,1995,14.61,9.85,9.54,1.96,35.92
SAT,1995,0.55,0.42,10.55,0.05,11.58
SNES,1995,7.26,2.22,22.37,0.35,32.21
TG16,1995,0,0,0.16,0,0.16
GB,1996,12.66,9.37,12.91,1.09,36.02
N64,1996,21.03,6.72,5.77,0.58,34.11
NG,1996,0,0,0.1,0,0.1
PC,1996,5.56,4.68,0,0.34,10.59
PCFX,1996,0,0,0.03,0,0.03
PS,1996,45.42,25.92,17.82,5.54,94.68
SAT,1996,0,0,7.69,0,7.69
SNES,1996,2.09,0.57,13.12,0.14,15.93
GB,1997,2.09,0.9,3.26,0.12,6.37
N64,1997,25.84,8.09,4.66,0.91,39.51
PC,1997,8.76,2.19,0.09,0.23,11.26
PS,1997,58.06,37.14,33.1,7.87,136.08
SAT,1997,0,0,6.77,0,6.77
SNES,1997,0,0,0.99,0,0.99
DC,1998,1.26,0.61,1.43,0.08,3.39
GB,1998,9.44,7,9.55,0.91,26.9
N64,1998,31.39,10.35,6.54,0.96,49.28
PC,1998,3.05,0.2,0,0.01,3.26
PS,1998,83.22,48.74,28.48,9.05,169.58
SAT,1998,0,0,3.82,0,3.82
SNES,1998,0,0,0.22,0,0.22
DC,1999,1.64,0.29,3.17,0.06,5.17
GB,1999,16.21,8.91,11.75,1.13,38.01
N64,1999,38.77,9.74,8.54,0.82,57.96
PC,1999,3.5,1.13,0,0.11,4.73
PS,1999,65.94,42.6,28.07,7.92,144.57
SAT,1999,0,0,0.09,0,0.09
SNES,1999,0,0,0.26,0,0.26
WS,1999,0,0,0.46,0,0.46
DC,2000,2.53,0.79,2.54,0.13,5.99
GB,2000,6.39,3.52,8.36,1.49,19.76
GBA,2000,0.05,0.02,0,0,0.06
N64,2000,19.74,5.59,7.72,0.92,34.01
PC,2000,3.03,1.45,0,0.18,4.68
PS,2000,45.94,30.55,14.6,5.28,96.3
PS2,2000,16.08,10.64,8.87,3.58,39.11
WS,2000,0,0,0.68,0,0.68
XB,2000,0.74,0.21,0,0.04,0.99
DC,2001,0,0,1.07,0,1.07
GB,2001,2.73,1.67,4.65,0.19,9.24
GBA,2001,36.24,15.92,7.46,1.91,61.62
GC,2001,16.91,4.8,3.85,0.78,26.3
N64,2001,2.08,0.52,0.53,0.12,3.26
PC,2001,4.08,1.24,0,0.15,5.51
PS,2001,15.84,13.72,3.86,2.17,35.52
PS2,2001,79.49,52.37,17.79,16.78,166.43
WS,2001,0,0,0.28,0,0.28
XB,2001,16.61,4.65,0.37,0.63,22.24
DC,2002,0,0,0.29,0,0.29
GBA,2002,43.02,17.12,12.21,1.81,74.38
GC,2002,34.71,10.49,5.28,1.33,51.93
N64,2002,0.06,0.02,0,0,0.08
PC,2002,5.03,3.18,0,0.36,8.59
PS,2002,2.78,1.89,1.64,0.36,6.69
PS2,2002,96.54,65.27,21.85,21.72,205.4
XB,2002,34.05,11.78,0.49,1.69,48.15
GBA,2003,33.53,13.19,8.59,1.36,56.73
GC,2003,32.64,10.23,6.43,1.31,50.66
PC,2003,3.41,4.92,0,0.51,8.91
PS,2003,1.15,0.78,0,0.14,2.05
PS2,2003,83.54,61.2,18.88,20.69,184.29
XB,2003,39.34,13.49,0.3,1.91,55.16
DS,2004,8.33,3.93,3.65,1.36,17.27
GBA,2004,44.43,18.15,13.52,1.81,78.09
GC,2004,19.71,5.33,3,0.78,28.89
PC,2004,2.54,7.54,0.08,0.23,10.41
PS2,2004,96.78,56.01,19.17,39.85,211.78
PSP,2004,2.25,1.7,2.03,1.08,7.11
XB,2004,48.47,14.62,0.2,2.13,65.5
DS,2005,47.99,41.49,29.86,10.8,130.22
GBA,2005,21.7,8.31,3.27,0.58,33.9
GC,2005,19.25,5.13,2.57,0.67,27.8
PC,2005,1.39,2.69,0,0.29,4.41
PS2,2005,85.6,40.86,15.05,19.15,160.65
PSP,2005,24.48,9.71,3.22,6.43,43.89
X360,2005,6.9,0.43,0.28,0.64,8.27
XB,2005,34.84,12.49,0.02,1.73,49.17
DS,2006,50.01,23.07,38.56,8.17,119.92
GBA,2006,2.7,0.98,1.51,0.09,5.35
GC,2006,8.51,2.28,0.21,0.26,11.29
PC,2006,0.61,1.94,0,0.3,2.91
PS2,2006,49.93,21.61,17.64,14.24,103.42
PS3,2006,8.84,7.38,1.08,3.66,20.95
PSP,2006,28.04,13.92,4.39,8.97,55.45
Wii,2006,70.86,43.62,9.15,13.52,137.12
X360,2006,35.16,10.84,1.2,4.42,51.66
XB,2006,7.47,2.25,0,0.32,10.15
DC,2007,0,0,0.02,0,0.02
DS,2007,75.25,33.79,26.81,11.09,147.26
GBA,2007,2.45,0.9,0,0.05,3.43
GC,2007,0.21,0.06,0,0,0.27
PC,2007,2.77,6.21,0,0.3,9.33
PS2,2007,32.05,10.43,9.82,23.69,76
PS3,2007,32.16,26.1,4.22,10.71,73.14
PSP,2007,18.46,14.08,5.78,8.61,47.05
Wii,2007,83.14,43.96,12.12,13.55,152.89
X360,2007,62.99,22.17,1.52,8.73,95.43
XB,2007,0.41,0.12,0,0.02,0.55
DC,2008,0,0,0.04,0,0.04
DS,2008,78.12,32.24,24.01,10.94,145.45
PC,2008,0.58,9.85,0,1.99,12.59
PS2,2008,21.23,7.63,5.73,19.31,53.83
PS3,2008,57.23,38.73,5.82,16.74,118.48
PSP,2008,11.77,7.97,10.07,4.74,34.52
Wii,2008,97.12,46.52,12.69,14.99,171.45
X360,2008,82.51,38.16,1.89,12.7,135.25
XB,2008,0.13,0.04,0,0.01,0.18
DS,2009,60.95,25.83,24.21,8.55,119.46
PC,2009,1.42,13.5,0,1.99,16.94
PS2,2009,9.36,4.94,1.94,10.16,26.45
PS3,2009,62.65,41.4,9.03,17.85,130.89
PSP,2009,12.62,10.65,8.19,6.32,37.78
Wii,2009,114.55,58.31,16.57,17.54,207.08
X360,2009,74,33.31,1.95,11.03,120.28
DS,2010,40.8,18.82,19.86,5.54,84.98
PC,2010,9.19,12.12,0,2.97,24.36
PS2,2010,2.19,1.54,0.71,1.2,5.63
PS3,2010,60.99,50.5,9.87,20.81,142.38
PSP,2010,7.46,5.82,18.16,3.6,34.98
Wii,2010,72.64,36.31,8.78,10.22,128.18
